date/heure,numéro de versement,type,numéro de la commande,sku,description,quantité,Marketplace,traitement,ville d'où provient la commande,Région d'où provient la commande,code postal de la commande,Modèle de perception des taxes,ventes de produits,Taxes sur la vente des produits,crédits d'expédition,taxe sur les crédits d’expédition,crédits sur l'emballage cadeau,Taxes sur les crédits cadeaux,Rabais promotionnels,Taxes sur les remises promotionnelles,Taxes retenues sur le site de vente,frais de vente,Frais Expédié par Amazon,autres frais de transaction,autre,total
2 nov. 2021 02:08:14 UTC,16522809282,Commande,406-8676693-0986716,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK balai vaporisateur d'eau Pulvérisation Nettoyant Sol Carrelage en marbre de cuisine 600 ml Micro Fibre,1,amazon.fr,Amazon,Maisons Laffitte,,78600,MarketplaceFacilitator,14.99,3,0,0,0,0,0,0,-3,-2.78,-5.85,0,0,6.36
2 nov. 2021 02:57:21 UTC,16522809282,Commande,407-6428384-9162768,FBA-5x7p_ARS04-TP Clear-2xPacks,ARSUK Galets Décoratifs en Verre. Pierres Perles Arrondies. Pierres. Gemmes (200 pcs / 1kg Galets Transparents),1,amazon.fr,Amazon,Fleury les aubrais,,45400,MarketplaceFacilitator,9.57,1.91,2.07,0.42,0,0,0,0,-2.33,-1.77,-7.91,0,0,1.96
2 nov. 2021 02:57:50 UTC,16522809282,Commande,408-5067605-6511518,Fba_Bxpp_TMI-1205-Fancy_scissor_pink,ARSUK ciseaux à broder à usages multiples 10.5cm en acier inoxydable à coudre travaux de couture à la maison (Ciseaux Fantaisie Rose),1,amazon.fr,Amazon,Nissan lez Enserune,,34440,MarketplaceFacilitator,4.16,0.83,0,0,0,0,0,0,-0.83,-0.41,-2.44,0,0,1.31
2 nov. 2021 03:18:07 UTC,16522809282,Commande,404-8395279-4986730,FBA_Spraying_Mop_Purple_600ml_a2xpp,ARSUK Balai Lave Sol avec Vaporisateur Intégré. Balai Nettoyeur 180 degrés Microfibre Spray. Produits et accessoires de nettoyage (Vadrouille Spray,1,amazon.fr,Amazon,Servon,,77170,MarketplaceFacilitator,15.16,3.03,0,0,0,0,0,0,-3.03,-2.81,-5.85,0,0,6.5
2 nov. 2021 03:18:50 UTC,16522809282,Commande,405-2951645-4046712,FBA_Dxpp_100psc_ColourMarbles,ARSUK Le marbre en Verre coloré &#x153;il de Chat Fonctionne. livré dans Un Sac. Protection Contre Les dommages. Jouets de Sport et Jeux de Plein ai,1,amazon.fr,Amazon,PARIS,,75020,MarketplaceFacilitator,8.32,1.67,0,0,0,0,0,0,-1.67,-1.54,-4.08,0,0,2.7
2 nov. 2021 03:18:58 UTC,16522809282,Commande,406-1248136-4094715,FBA_Green_SprayingMop_600ml_A2xpp,ARSUK balai vaporisateur d'eau Pulvérisation Nettoyant Sol Carrelage en marbre de cuisine 600 ml Micro Fibre,1,amazon.fr,Amazon,Ste genevieve des bois,,91700,MarketplaceFacilitator,14.74,2.95,0,0,0,0,0,0,-2.95,-2.73,-5.85,0,0,6.16
2 nov. 2021 03:23:32 UTC,16522809282,Commande,404-1257639-0432338,Fba_Bxpp_ColourMarbels_100pcs,ARSUK Marbles 100 X Classique Rétro Verre Coloré Enfants Jouets Party Bag Fillers Staffers,1,amazon.fr,Amazon,gagny,,93220,MarketplaceFacilitator,10.48,2.1,0,0,0,0,0,0,-2.1,-1.94,-4.08,0,0,4.46
2 nov. 2021 03:31:19 UTC,16522809282,Commande,406-1948402-8342721,FBA_B1xpp_GD001_2Pairs-Boot Rack,ARSUK Wellington étagère à Chaussures pour Jardin 2 paires. Porte-Bottes Fonte Stockage Extérieur,1,amazon.fr,Amazon,Cerny,,91590,MarketplaceFacilitator,29.16,5.83,2.07,0.42,0,0,-2.07,-0.42,-5.83,-5.41,-7.67,0,0,16.08
2 nov. 2021 03:31:54 UTC,16522809282,Commande,405-0790806-7319503,FBA_Boot-Scraper:18039-BLK,ARSUK Welly Démarrage Étagère. Métal Étagères à Chaussures Unité de Stockage. Petit bac à Chaussures. Wellington Support de Démarrage Extér,2,amazon.fr,Amazon,BUTHIERS,,77760,MarketplaceFacilitator,58.32,11.66,0,0,0,0,0,0,-11.66,-10.82,-15.34,0,0,32.16
2 nov. 2021 03:51:40 UTC,16522809282,Commande,404-7869925-5489950,FBA_Spraying_Mop_Purple_600ml_a2xpp,ARSUK Balai Lave Sol avec Vaporisateur Intégré. Balai Nettoyeur 180 degrés Microfibre Spray. Produits et accessoires de nettoyage (Vadrouille Spray,1,amazon.fr,Amazon,COMBS LA VILLE,,77380,MarketplaceFacilitator,15.16,3.03,0,0,0,0,0,0,-3.03,-2.81,-5.85,0,0,6.5
